Model Name,Reference Price (Yuan),Brand,Model,Production Method,Origin,Engine,Max Horsepower (Ps),Max Power/Speed (kW/rpm),Max Torque/Speed (N·m/rpm),Transmission,ABS,CBS,Dimensions (LxWxH mm),Seat Height (mm),Curb Weight (kg),Fuel Tank Capacity (L),Max Speed (km/h),Official Average Fuel Consumption (L/100km),Measured Average Fuel Consumption (L/100km),Range (km),Warranty,Available Colors
天地游侠 布雷斯通 魔童 D5,9780,Tiandi,MINI,Domestic,,single cylinder four stroke air-cooled  150cc,13.3,9.8/8000,,international 5-speed,none,xx(mm),1696x785x1005,775,116,12.3,115,-,,-,,"blue, white"
天地游侠 布雷斯通 G3,11580,Tiandi,Retro,Domestic,,single cylinder four stroke air-cooled  150cc,12.9,9.5/8000,,international 5-speed,none,xx(mm),2020x850x1105,,134,14,95,-,,-,,
天地游侠 XT,11580,Tiandi,Retro,Domestic,Chongqing Wangjiang Motorcycle Manufacturing Co.,single cylinder four stroke air-cooled  150cc,11.8,8.7/8000,,international 5-speed,-,xx(mm),2070x850x1120,810,134,14,110,2.6,,500,for,"blue, gray, silver"
天地游侠 BOBBER 150,12580,World,Retro,Domestic,,single cylinder four stroke air-cooled  150cc,11.8,8.7/8000,,international 5-speed,none,xx(mm),2020x760x1060,810,134,14,,-,,-,,"sub gray, light blue, silver white"
天地游侠 布雷斯通 C2,14580,Tiandi,Retro,Domestic,,single cylinder four stroke air-cooled  250cc,20.1,14.8/7500,,international 6-speed,standard,-,2020x850x1105,750,145,11.5,110,-,,-,,
天地游侠 布雷斯通 C1,18800,Tiandi,Retro,Domestic,,single cylinder four stroke air-cooled  250cc,20.1,14.8/7500,,international 6-speed,standard,-,2050x850x1120,750,155,14.5,110,-,,-,,"sub black set, limited edition gray, sub black"
天地游侠 大漠鹰WJ150-C,7558,World,street car,domestic production,,single cylinder four stroke air-cooled  150cc,11.7,8.6/8000,,-,-,-,2700x750x1075,,141,15,,2,,-,,
天地游侠 WJ125-19,3700,World,bending beam,domestic,,single cylinder four air-cooled  125cc,,,,-,None,-,1970x700x1100,,95,6,80,-,,-,,
天地游侠 骐迹GTR150,7680,World,street car,domestic production,,single cylinder four stroke air-cooled  149cc,13.32,9.8/7500,,-,None,-,1700x750x1040,745,108,6.2,102,-,,-,,
天地游侠 WJ150-D,7705,World,street car,domestic production,,single cylinder four stroke air-cooled  150cc,13.3,9.8/7500,,-,-,-,1700x750x1040,780,108,5.5,90,-,,-,,
天地游侠 听风WJ300,19800,Tiandi,street car,domestic production,,single cylinder four stroke water-cooled  300cc,26.51,19.5/8500,,-,-,-,2010,780,165,16,125,3.5,,-,,
天地游侠 天地游侠大公仔WJ150-18,,,street car,domestic production,,single cylinder four stroke air-cooled  150cc,13.32,9.8/8000,,5,None,-,1700x750x1040,740,108,5.5,,2,,-,,
天地游侠 WJ125T-3B,5600,World,pedal,domestic,,125cc,,,,-,None,-,2025x680x1200,,109,0,80,-,,-,,
天地游侠 战斧WJ150R,9185,World,street car,domestic production,,single cylinder four stroke air-cooled  150cc,11.7,8.6/8000,,-,None,-,2050x770x1200,,144,0,90,-,,-,,
天地游侠 极客,10866,Tiandi,sports car,domestic production,,"single cylinder four stroke, 250cc",,,,-,None,-,2150,,,0,,-,,-,,
华鹰 华鹰 500,26800,Huaying,sports car,domestic production,,inline dual cylinder four stroke water-cooled  500cc,36.7,27/8500,,-,standard,-,2100x730x1150,800,225,18,175,3.9,,460,,
华鹰 HY500-B,27800,Huaying,sports car,domestic production,,inline dual cylinder four stroke water-cooled  500cc,36.7,27/8500,,international 6-speed,standard,xx(mm),,790,225,18,185,3.9,,460,,"green black, matte black, blue"
华鹰 安吉拉,20800,Huaying,Cruising Crown Prince,Domestic,,with 250cc,,,,international 5-speed,standard,xx(mm),,,,0,,-,,-,,
哈啰出行 C30,2499,Hello,pedal,domestic,Jiangsu Xingguang Electric Vehicle Manufacturing Co.,,0.8,0.6/,,,none,xx(mm),1830x700x1097,,90,,43,,,65,,"Mirror Black, Snow Mountain White, Lightning Red, Space Blue, Glass Technology Grey"
哈啰出行 C21,2899,Hello,pedal,domestic,Jiangsu Xingguang Electric Vehicle Manufacturing Co.,,,,,,-,xx(mm),,,,,,,,-,,
哈啰出行 D10,2699,Hello,pedal,domestic,Jiangsu Xingguang Electric Vehicle Manufacturing Co.,,0.8,0.6/,,,none,xx(mm),1755x755x1055,,,,43,,,65,,
哈啰出行 B21-EK,2799,Hello,pedal,domestic,,,,,,,none,xx(mm),,,,,,,,-,,"Snow Mountain White, Antarctic Blue, Plated Metal Red, Plated Green, Plated Silver Grey, Mirror Black"
哈啰出行 A31-MDK,3499,Hello,pedal,domestic,,,,,,,-,-,,,,,,,,-,,
哈啰出行 A86L,4399,Hello,pedal,domestic,Wuxi Xunyi Electric Vehicle Co.,,0.5,0.4/,,,none,xx(mm),,710,,,,,,-,,"Autumn Brown, Bright Moon White, Metal Blue, Snow Mountain White, Aurora Silver, Noble Metal Silver Red, Tranquil Purple, Exploration Green"
哈啰出行 星可,2299,Hello,pedal,domestic,,,0.8,0.6/,,,none,xx(mm),1790x710x1030,,91,,43,,,-,,"Glacier Blue, Matte Black, Star Shine Red, Pearl White"
哈啰出行 棒途L2,2499,Hello,pedal,domestic,,,0.8,0.6/,,,-,-,1820x720x1080,,106,,39,,,65,,"Noble Metal Grey, Metal Titanium Red, Piano Black, Snow Pearl White, Glacier Blue"
哈啰出行 星耀,2599,Hello,pedal,domestic,,,0.8,0.6/,,,none,xx(mm),1835x678x1091,,90,,43,,,-,,"Mirror Black, BMW Blue, Date Red, Pearl White"
