Model Name,Reference Price (Yuan),Brand,Model,Production Method,Origin,Engine,Max Horsepower (Ps),Max Power/Speed (kW/rpm),Max Torque/Speed (N·m/rpm),Transmission,ABS,CBS,Dimensions (LxWxH mm),Seat Height (mm),Curb Weight (kg),Fuel Tank Capacity (L),Max Speed (km/h),Official Average Fuel Consumption (L/100km),Measured Average Fuel Consumption (L/100km),Range (km),Warranty,Available Colors
QJETECH V1,,,,,,,,,,,-,-,,,,,,,,,,
QJETECH V2,2099,QJETECH,pedal,,,,0.5,0.4/,,,-,-,1470x640x980,730,,,25,,,65,,
QJETECH S2,2099,QJETECH,pedal,,,,0.5,0.4/,,,-,-,1485x662x1014,730,,,25,,,65,,
QJETECH S1 Vc,3699,QJETECH,pedal,,,,,,,,-,-,1710x655x1060,710,55,,25,,,70,,
QJETECH VC+,3899,QJETECH,pedal,,,,0.5,0.4/,,,-,-,1485x682x1020,725,,,25,,,60,,
QJETECH Q动,3899,QJETECH,pedal,,,,0.5,0.4/,,,-,-,1540x680x1020,725,,,25,,,60,,
QJETECH EQ,3899,QJETECH,pedal,,,,,,,,-,-,1750x720x1065,755,,,55,,,68,,
QJETECH S5,3999,QJETECH,pedal,,,,0.5,0.4/,,,-,-,1570x675x1040,725,,,25,,,70,,
QJETECH S3,4099,QJETECH,pedal,,,,0.5,0.4/,,,-,-,1710x655x1060,700,55,,25,,,70,,"Starry Night Black, Matte Light Blue, Rich White"
胜利 Octane,4599,QJETECH,pedal,,,,0.5,0.4/,,,-,-,1710x655x1060,700,55,,25,,,70,,"Dong Dong Lan, Cement Grey, Piano Black"
胜利 Vegas 8-Ball,139900,Victory,Cruising Crown Prince,Imported,,dual cylinder four stroke water-cooled  1179cc,104.69,77/8000,,6,-,-,2286xxxx,658,243,12.9,,-,,-,,
胜利 Judge,,Victory,Cruising Crown Prince,Imported,,with 1731cc,,,,-,-,-,,640,,17,,-,,-,,
胜利 Hammer 8-Ball,,Victory,Cruising Crown Prince,Imported,,with 1731cc,,,,-,-,-,,658,,17,,-,,-,,
胜利 Hammer S,,Victory,Cruising Crown Prince,Imported,,with 1731cc,,,,-,-,-,,660,,17,,-,,-,,
胜利 High-Ball,,Victory,Cruising Crown Prince,Imported,,with 1731cc,,,,-,-,-,,660,,17,,-,,-,,
胜利 Gunner Bobber,,Victory,Cruising Crown Prince,Imported,,with 1731cc,,,,-,-,-,,667,,22,,-,,-,,
胜利 Cross Country,179900,Victory,Cruising Crown Prince,Imported,,dual cylinder four stroke air-cooled/oil cooled  1731cc,82.12,60.4/,,6,-,-,2372xxx,658,300,17,,-,,-,,
胜利 Vision Tour,,Victory,Cruising Crown Prince,Imported,,with 1731cc,,,,-,-,-,,667,,22.7,,-,,-,,
胜利 Magnum,,Victory,Cruising Crown Prince,Imported,,with 1731cc,,,,-,-,-,,673,,22.7,,-,,-,,
胜利 Boardwalk,,Victory,,,,four cylinder four stroke  1731cc,,,,-,-,-,,,,0,,-,,-,,
胜利 Cross Country Cory Ness,,Victory,Cruising Crown Prince,Imported,,with 1731cc,,,,-,-,-,,,,17.8,,-,,-,,
胜利 Cross Country Cory Ness L.E.,,Victory,,,,with 1731cc,,,,-,-,-,,667,,22.7,,-,,-,,
胜利 Cross Country Zach Ness,,Victory,Cruising Crown Prince,Imported,,with 1731cc,,,,-,-,-,,667,,22.7,,-,,-,,
胜利 Cross Country 8-Ball,,Victory,Cruising Crown Prince,Imported,,with 1731cc,,,,-,-,-,,667,,22.7,,-,,-,,
胜利 Cross Country Tour,,Victory,Cruising Crown Prince,Imported,,with 1731cc,,,,-,-,-,,667,339,22.7,,-,,-,,
胜利 Cross Roads,,Victory,,,,"Four stroke, 50  V twin SOHC, 4 valves per cylinder, self adjusting cam chains, hydraulic lifts Four stroke oil cooled",,,,-,-,-,,667,,22.7,,-,,-,,
胜利 Cross Roads Classic,,Victory,Cruising Crown Prince,Imported,,with 1731cc,,,,-,-,-,,673,,22.7,,-,,-,,
胜利 Cross Roads 8-Ball,,Victory,Cruising Crown Prince,Imported,,with 1731cc,,,,-,-,-,,673,,22.7,,-,,-,,
胜利 Hammer,,Victory,Cruising Crown Prince,Imported,,with 1731cc,,,,-,-,-,,673,,22.7,,-,,-,,
胜利 Hard-Ball,,Victory,Cruising Crown Prince,Imported,,dual cylinder four stroke oil cooled  1634cc,,,,-,-,-,,660,,17,,-,,-,,
胜利 Jackpot,,Victory,Cruising Crown Prince,Imported,,with 1731cc,,,,-,-,-,,667,,22,,-,,-,,
胜利 Kingpin,,Victory,Cruising Crown Prince,Imported,,dual cylinder four stroke oil cooled  1634cc,,,,-,-,-,,653,,17,,-,,-,,
胜利 Kingpin Deluxe,,Victory,Cruising Crown Prince,Imported,,dual cylinder four stroke oil cooled  1634cc,,,,-,-,-,,673,,17,,-,,-,,
胜利 Kingpin Low,,Victory,Cruising Crown Prince,Imported,,", 1507cc",,,,-,-,-,,673,,17,,-,,-,,
