Model Name,Reference Price (Yuan),Brand,Model,Production Method,Origin,Engine,Max Horsepower (Ps),Max Power/Speed (kW/rpm),Max Torque/Speed (N·m/rpm),Transmission,ABS,CBS,Dimensions (LxWxH mm),Seat Height (mm),Curb Weight (kg),Fuel Tank Capacity (L),Max Speed (km/h),Official Average Fuel Consumption (L/100km),Measured Average Fuel Consumption (L/100km),Range (km),Warranty,Available Colors
钛极 NEXY+/未界,Currently no quotation available,titanium,pedal,domestic,,single cylinder four stroke water-cooled  150cc,15.8,11.6/8500,,,CBS,-,1970x770x1150,765,136,8,105,-,,-,,
钛极 BOHEMIA/波西米亚,Currently no quotation available,titanium,pedal,domestic,,single cylinder four stroke water-cooled  150cc,15.8,11.6/8500,,CVT continuously variable transmission automatic transmission,standard,-,1920x740x1120,785,130,8,100,-,,-,,Titanium Extreme Silver
钛极 PHANTOM/飞腾,Currently no quotation available,titanium,pedal,domestic,,single cylinder four stroke water-cooled  300cc,25.2,18.5/8250,,CVT continuously variable transmission automatic transmission,standard,-,1900x790x1200,775,150,11,118,-,,-,,Dark Night Black
钛极 HELLCAT/地狱猫,Currently no quotation available,titanium,street car,domestic production,,inline dual cylinder water-cooled  250cc,32.6,24/9500,,-,standard,-,2100x805x1060,710,168,13,120,-,,-,,Titanium Extreme Silver
柴特 ZFR525C 复仇者,29900,Chaite,sports car,domestic production,Jiangmen Changhua Group Co.,inline dual cylinder four stroke water-cooled  500cc,53.8,39.6/8500,,international 6-speed,standard,-,205x80x1150,790,199,15,195,3.6,,400,,"Ice White, Track Blue"
柴特 雷鸟,Currently no quotation available,Chaite,street car,domestic production,,inline dual cylinder four stroke water-cooled  500cc,53.0,39/8500,,international 6-speed,standard,-,,,,0,,-,,-,,
柴特 Naja250 软尾版,23800,Chaite,Cruising Crown Prince,Domestic,Changzhou Shanqi Motorcycle Co.,"V-type twin cylinder four stroke air-cooled, 250cc",17.9,13.2/7500,,international 5-speed,-,-,2300x790x1154,660,,9,100,-,,300,,"Titanium Star Grey, Starry Sky Black"
柴特 撼路者316,23800,Chaite,Cruising Crown Prince,Domestic,Changzhou Shanqi Motorcycle Co.,V-type twin cylinder four stroke water-cooled  320cc,31.5,23.2/8500,,international 6-speed,standard,-,2250x845x1070,675,185,14,145,3.2,,-,,"black, yellow, gray"
柴特 Vincent文森特V316,23800,Chaite,Cruising Crown Prince,Domestic,,V-type twin cylinder four stroke water-cooled  320cc,30.6,22.5/8500,,international 6-speed,standard,-,2250x862x1175,675,211,14,,3.2,,-,of,"black, gray"
柴特 博格 V250 硬尾版,25800,Chaite,Cruising Crown Prince,Domestic,,"V-type twin cylinder four stroke air-cooled, 250cc",17.7,13/8000,,international 5-speed,none,xx(mm),2370x720x920,640,175,6.8,106,-,,-,,
柴特 博格 V250 软尾版,27800,Chaite,Cruising Crown Prince,Domestic,Changzhou Shanqi Motorcycle Co.,"V-type twin cylinder four stroke air-cooled, 250cc",19.0,14/8000,,international 5-speed,none,xx(mm),2280x715x1210,675,185,11,106,4.5,,-,,
柴特 One-Joy,10600,Chaite,MINI,Domestic,Changzhou Shanqi Motorcycle Co.,single cylinder four stroke air-cooled  125cc,8.6,6.3/7500,,international 4-speed,standard,-,1570x680x920,600,85,10,85,2.3,,-,of,
金城 草蜢 200 警用版,18980,Jincheng,sports car,domestic production,Nanjing Jincheng Machinery Co.,inline dual cylinder four stroke water-cooled  250cc,27.9,20.5/9500,,international 6-speed,standard,xx(mm),2090x735x1170,780,178,18,140,-,,-,,"Icedew White, Starry Black, Deep Space Grey"
金城 草蜢 150,15980,Jincheng,pedal,domestic,,single cylinder four stroke water-cooled  150cc,13.7,10.1/9500,,CVT continuously variable transmission automatic transmission,standard,-,1990x745x1135,,,7,110,2.7,,-,,"green, blue"
金城 提拉米苏,16800,Jincheng,pedal,domestic,Chinese manufacturer Jincheng Group Co.,single cylinder four stroke water-cooled  200cc,19.2,14.1/8250,,CVT continuously variable transmission automatic transmission,standard,-,2025x725x1345,810,160,8,125,2.6,,-,,"green, blue"
金城 欧宝路二代JC200T-6,17760,Jincheng,pedal,domestic,,single cylinder four stroke water-cooled  200cc,19.03,14/8250,,continuously variable transmission,none,-,2210,760,153,14,130,-,,-,,
金城 提拉米苏 150,19980,Jincheng,pedal,domestic,,single cylinder four stroke water-cooled  150cc,14.7,10.8/8500,,-,standard,-,2025x725x1345,,160,8,100,2.5,,-,,"red and white, black and red, blue and white"
金城 越途Travelin,20178,Jincheng,pedal,domestic,,single cylinder four stroke water-cooled  189cc,18.63,13.7/8250,,-,None,-,2210,790,176,8,110,2.9,,-,,
金城 天悦JC110T-A,6880,Jincheng,pedal,domestic,,single cylinder four stroke  110cc,8.8,6.5/8000,,-,None,-,720x420x485,780,97,5.2,,-,,-,,
金城 越途JC200T-8,21800,Jincheng,pedal,domestic,,single cylinder four stroke water-cooled  200cc,19.0,14/8250,,-,None,-,2210x780x1232,780,,10,110,2.9,,-,,
金城 JC250-9,Currently no quotation available,Jincheng,tension,domestically produced,,single cylinder four stroke air-cooled  250cc,19.0,14/8500,,-,-,-,2090x870x1210,830,,10,120,-,,-,,
金城 JC200Y-6,Currently no quotation available,Jincheng,Off road,Domestic,,single cylinder four stroke water-cooled  200cc,19.2,14.1/8500,,international 6-speed,-,-,2060x810x1105,850,,0,100,-,,-,,
金城 森林之王 Forest King,23800,Jincheng,pedal,domestic,,,,,,,standard,xx(mm),,,,,100,,,179,,"light green, deep sea blue"
金城 金童 JC70,7380,Jincheng,MINI,Domestic,,single cylinder four stroke air-cooled  70cc,5.0,3.7/2500,,cycle 4th gear,none,xx(mm),1380x660x855,,73,8,52,2.13,,-,,red and white color scheme
金城 金童 JC50,7080,Jincheng,MINI,Domestic,,single cylinder four stroke air-cooled  50cc,5.0,3.7/7500,,cycle 4th gear,none,xx(mm),1430x560x900,660,,4.5,70,1.6,,250,,
金城 悟空110,7680,Jincheng,MINI,Domestic,Nanjing Jincheng Machinery Co.,single cylinder four stroke air-cooled  110cc,6.8,5/7500,,cycle 4-speed,-,-,1500x640x900,650,77,6.5,80,-,,300,,"turquoise green, fantasy gray"
金城 LAKO 110,7480,Jincheng,MINI,Domestic,Nanjing Jincheng Machinery Co.,single cylinder air-cooled  110cc,6.8,5/7500,,cycle 4-speed,-,-,1565x556x1043,670,81,3.5,80,-,,-,,"Starry Sky Black, Wind Thunder Red"
金城 小金鹿 JC50Q-20,8985,Jincheng,MINI,Domestic,,single cylinder four stroke air-cooled  50cc,2.7,2/7500,,international 4-speed,none,xx(mm),1450x525x925,630,79,3.5,50,1.71,,-,,"Diamond Black, Charm Blue"
金城 金童边三轮,12380,Jincheng,Three Wheel,Domestic,Nanjing Jincheng Machinery Co.,single cylinder four stroke air-cooled  70cc,5.0,3.7/,,-,-,xx(mm),1980x1310x880,650,,8,52,-,,-,,"yellow, black"
金城 JC125-7BV,5800,Jincheng,street car,domestic production,,single cylinder four stroke air-cooled  125cc,10.3,7.6/,,-,-,-,1985x810x1106,,116,11,,2,,-,,
金城 炫跑JC125-17HV,5880,Jincheng,street car,domestic production,,single cylinder four stroke air-cooled  125cc,10.3,7.6/7500,,-,-,-,2010x745x1115,,126,14,,2,,-,,
金城 金城刀JC125-17HV,6380,Jincheng,street car,domestic production,,single cylinder four stroke air-cooled  150cc,10.9,8/8000,,-,-,-,2065x750x1100,,,12,95,-,,-,,
金城 GX125,6380,Jincheng,street car,domestic production,,single cylinder four stroke air-cooled  125cc,11.28,8.3/8500,,2,-,-,2015,760,117,15,110,2,,-,,
金城 猎枭SJ150-2,7380,Jincheng,street car,domestic production,,single cylinder four stroke air-cooled  150cc,11.3,8.3/7500,,-,None,-,2050x755x1100,,127,0,90,-,,-,,
